Tile Rack #1: Playing GLEG earns 6 points, the max possible.

Tile Rack #2: Playing JIB earns 12 points, the max possible.

Tile Rack #3: Playing BEEFY earns 13 points, the max possible.

Tile Rack #4: Playing COWLS earns 10 points, the max possible.

Tile Rack #5: Playing KEGS earns 9 points, the max possible.

Tile Rack #6: Playing CRUX earns 13 points, the max possible.

Tile Rack #7: Playing WAFT earns 10 points, the max possible.

Tile Rack #8: Playing MONK earns 10 points, the max possible.

Tile Rack #9: Playing FAZING earns 19 points, the max possible.

Tile Rack #10: Playing ZARF earns 16 points, the max possible.

Tile Rack #11: Playing WHIGS earns 12 points, the max possible.

Tile Rack #12: Playing CROWD earns 11 points, the max possible.

Tile Rack #13: Playing BEHOWL earns 14 points, the max possible.

Tile Rack #14: Playing WIMP earns 11 points, the max possible.

Tile Rack #15: Playing BY earns 7 points, the max possible.

Tile Rack #16: Playing POXY earns 16 points, the max possible.

Tile Rack #17: Playing ZEBU earns 15 points, the max possible.

Tile Rack #18: Playing FIZ earns 15 points, the max possible.

Tile Rack #19: Playing MIRZA earns 16 points, the max possible.

Tile Rack #20: Playing PABLUM earns 12 points, the max possible.

Tile Rack #21: Playing JAW earns 13 points, the max possible.

Tile Rack #22: Playing SCRY earns 9 points, the max possible.

Tile Rack #23: Playing HM earns 7 points, the max possible.

Tile Rack #24: Playing OXY earns 13 points, the max possible.

Tile Rack #25: Playing HOOTY earns 11 points, the max possible.

Tile Rack #26: Playing WAX earns 13 points, the max possible.

Tile Rack #27: Playing JAWS earns 14 points, the max possible.

Tile Rack #28: Playing WAVY earns 13 points, the max possible.

Tile Rack #29: Playing QI earns 11 points, the max possible.

Tile Rack #30: Playing VAGI earns 8 points, the max possible.

Tile Rack #31: Playing QIS earns 12 points, the max possible.

Tile Rack #32: Playing QIS earns 12 points, the max possible.

Tile Rack #33: Playing NUMB earns 8 points, the max possible.

Tile Rack #34: Playing JAW earns 13 points, the max possible.

Tile Rack #35: Playing DRYLY earns 12 points, the max possible.

Tile Rack #36: Playing GIMPS earns 10 points, the max possible.

Tile Rack #37: Playing FURLS earns 8 points, the max possible.

Tile Rack #38: Playing QI earns 11 points, the max possible.

Tile Rack #39: Playing JAW earns 13 points, the max possible.

Tile Rack #40: Playing PRAHU earns 10 points, the max possible.

Tile Rack #41: Playing SHAKY earns 15 points, the max possible.

Tile Rack #42: Playing CAKY earns 13 points, the max possible.

Tile Rack #43: Playing ECHE earns 9 points, the max possible.

Tile Rack #44: Playing COBS earns 8 points, the max possible.

Tile Rack #45: Playing QI earns 11 points, the max possible.

Tile Rack #46: Playing SH earns 5 points, the max possible.

Tile Rack #47: Playing QIS earns 12 points, the max possible.

Tile Rack #48: Playing JUMPY earns 19 points, the max possible.

Tile Rack #49: Playing FRY earns 9 points, the max possible.

Tile Rack #50: Playing HM earns 7 points, the max possible.

Tile Rack #51: Playing SUQ earns 12 points, the max possible.

Tile Rack #52: Playing BIGGY earns 12 points, the max possible.

Tile Rack #53: Playing SHH earns 9 points, the max possible.

Tile Rack #54: Playing BIB earns 7 points, the max possible.

Tile Rack #55: Playing PHUT earns 9 points, the max possible.

Tile Rack #56: Playing HEX earns 13 points, the max possible.

Tile Rack #57: Playing GIMPS earns 10 points, the max possible.

Tile Rack #58: Playing CUBS earns 8 points, the max possible.

Tile Rack #59: Playing POX earns 12 points, the max possible.

Tile Rack #60: Playing JUNGLY earns 17 points, the max possible.

Tile Rack #61: Playing AZO earns 12 points, the max possible.

Tile Rack #62: Playing AGAZE earns 15 points, the max possible.

Tile Rack #63: Playing CRUX earns 13 points, the max possible.

Tile Rack #64: Playing VOX earns 13 points, the max possible.

Tile Rack #65: Playing JAW earns 13 points, the max possible.

Tile Rack #66: Playing AORTIC earns 8 points, the max possible.

Tile Rack #67: Playing KEMP earns 12 points, the max possible.

Tile Rack #68: Playing PUTZ earns 15 points, the max possible.

Tile Rack #69: Playing SKY earns 10 points, the max possible.

Tile Rack #70: Playing MYC earns 10 points, the max possible.

Tile Rack #71: Playing JOT earns 10 points, the max possible.

Tile Rack #72: Playing WHANG earns 12 points, the max possible.

Tile Rack #73: Playing FAXED earns 16 points, the max possible.

Tile Rack #74: Playing XI earns 9 points, the max possible.

Tile Rack #75: Playing WHANG earns 12 points, the max possible.

Tile Rack #76: Playing FLAW earns 10 points, the max possible.

Tile Rack #77: Playing EXTOL earns 12 points, the max possible.

Tile Rack #78: Playing FORWHY earns 18 points, the max possible.

Tile Rack #79: Playing PARVO earns 10 points, the max possible.

Tile Rack #80: Playing HOWLED earns 13 points, the max possible.

Tile Rack #81: Playing QI earns 11 points, the max possible.

Tile Rack #82: Playing POMP earns 10 points, the max possible.

Tile Rack #83: Playing MICK earns 12 points, the max possible.

Tile Rack #84: Playing FIZ earns 15 points, the max possible.

Tile Rack #85: Playing JOYS earns 14 points, the max possible.

Tile Rack #86: Playing HAJI earns 14 points, the max possible.

Tile Rack #87: Playing WIMP earns 11 points, the max possible.

Tile Rack #88: Playing OOZY earns 16 points, the max possible.

Tile Rack #89: Playing BRR earns 5 points, the max possible.

Tile Rack #90: Playing QIS earns 12 points, the max possible.

Tile Rack #91: Playing HEX earns 13 points, the max possible.

Tile Rack #92: Playing ZERK earns 17 points, the max possible.

Tile Rack #93: Playing PYX earns 15 points, the max possible.

Tile Rack #94: Playing POTSY earns 10 points, the max possible.

Tile Rack #95: Playing FRUG earns 8 points, the max possible.

Tile Rack #96: Playing QADI earns 14 points, the max possible.

Tile Rack #97: Playing SHOTT earns 8 points, the max possible.

Tile Rack #98: Playing TURACOU earns 9 points, the max possible.

Tile Rack #99: Playing JAWS earns 14 points, the max possible.

Tile Rack #100: Playing LUNCH earns 10 points, the max possible.

Tile Rack #101: Playing PFFT earns 12 points, the max possible.

Tile Rack #102: Playing JINX earns 18 points, the max possible.

Tile Rack #103: Playing MIFF earns 12 points, the max possible.

Tile Rack #104: Playing FABS earns 9 points, the max possible.

Tile Rack #105: Playing FLAW earns 10 points, the max possible.

Tile Rack #106: Playing DEWING earns 11 points, the max possible.

Tile Rack #107: Playing HOLK earns 11 points, the max possible.

Tile Rack #108: Playing REJIGS earns 14 points, the max possible.

Tile Rack #109: Playing CWM earns 10 points, the max possible.

Tile Rack #110: Playing WAX earns 13 points, the max possible.

Tile Rack #111: Playing KEEF earns 11 points, the max possible.

Tile Rack #112: Playing WHANG earns 12 points, the max possible.

Tile Rack #113: Playing HOWE earns 10 points, the max possible.

Tile Rack #114: Playing KOJI earns 15 points, the max possible.

Tile Rack #115: Playing FAX earns 13 points, the max possible.

Tile Rack #116: Playing DIPT earns 7 points, the max possible.

Tile Rack #117: Playing QI earns 11 points, the max possible.

Tile Rack #118: Playing INCOME earns 10 points, the max possible.

Tile Rack #119: Playing VEXES earns 15 points, the max possible.

Tile Rack #120: Playing ACORN earns 7 points, the max possible.

Tile Rack #121: Playing JET earns 10 points, the max possible.

Tile Rack #122: Playing MAX earns 12 points, the max possible.

Tile Rack #123: Playing WYCH earns 15 points, the max possible.

Tile Rack #124: Playing HMM earns 10 points, the max possible.

Tile Rack #125: Playing HANGOUT earns 11 points, the max possible.

Tile Rack #126: Playing FRY earns 9 points, the max possible.

Tile Rack #127: Playing WAZOO earns 17 points, the max possible.

Tile Rack #128: Playing MOWN earns 9 points, the max possible.

Tile Rack #129: Playing BODED earns 9 points, the max possible.

Tile Rack #130: Playing SWAMPY earns 16 points, the max possible.

Tile Rack #131: Playing HAJ earns 13 points, the max possible.

Tile Rack #132: Playing JAKE earns 15 points, the max possible.

Tile Rack #133: Playing YOK earns 10 points, the max possible.

Tile Rack #134: Playing HEFTY earns 14 points, the max possible.

Tile Rack #135: Playing FILM earns 9 points, the max possible.

Tile Rack #136: Playing SH earns 5 points, the max possible.

Tile Rack #137: Playing ZAP earns 14 points, the max possible.

Tile Rack #138: Playing FOX earns 13 points, the max possible.

Tile Rack #139: Playing BOUGH earns 11 points, the max possible.

Tile Rack #140: Playing BLANCH earns 13 points, the max possible.

Tile Rack #141: Playing YWIS earns 10 points, the max possible.

Tile Rack #142: Playing POP earns 7 points, the max possible.

Tile Rack #143: Playing POZOLE earns 17 points, the max possible.

Tile Rack #144: Playing QADI earns 14 points, the max possible.

Tile Rack #145: Playing EBBS earns 8 points, the max possible.

Tile Rack #146: Playing BEVY earns 12 points, the max possible.

Tile Rack #147: Playing HYP earns 11 points, the max possible.

Tile Rack #148: Playing JOG earns 11 points, the max possible.

Tile Rack #149: Playing BABUS earns 9 points, the max possible.

Tile Rack #150: Playing FUGU earns 8 points, the max possible.

Tile Rack #151: Playing CRAMPS earns 12 points, the max possible.

Tile Rack #152: Playing ZONK earns 17 points, the max possible.

Tile Rack #153: Playing MAZY earns 18 points, the max possible.

Tile Rack #154: Playing COW earns 8 points, the max possible.

Tile Rack #155: Playing JIBES earns 14 points, the max possible.

Tile Rack #156: Playing TZAR earns 13 points, the max possible.

Tile Rack #157: Playing HUCK earns 13 points, the max possible.

Tile Rack #158: Playing BIZ earns 14 points, the max possible.

Tile Rack #159: Playing UPTORN earns 8 points, the max possible.

Tile Rack #160: Playing ZEP earns 14 points, the max possible.

Tile Rack #161: Playing PIXY earns 16 points, the max possible.

Tile Rack #162: Playing PLACK earns 13 points, the max possible.

Tile Rack #163: Playing QUEST earns 14 points, the max possible.

Tile Rack #164: Playing FLY earns 9 points, the max possible.

Tile Rack #165: Playing ZEK earns 16 points, the max possible.

Tile Rack #166: Playing POX earns 12 points, the max possible.

Tile Rack #167: Playing CAPTOR earns 10 points, the max possible.

Tile Rack #168: Playing JIG earns 11 points, the max possible.

Tile Rack #169: Playing WHOMSO earns 14 points, the max possible.

Tile Rack #170: Playing FAD earns 7 points, the max possible.

Tile Rack #171: Playing LUX earns 10 points, the max possible.

Tile Rack #172: Playing MAX earns 12 points, the max possible.

Tile Rack #173: Playing FEME earns 9 points, the max possible.

Tile Rack #174: Playing ZLOTY earns 17 points, the max possible.

Tile Rack #175: Playing HAJ earns 13 points, the max possible.

Tile Rack #176: Playing JUTE earns 11 points, the max possible.

Tile Rack #177: Playing ZEK earns 16 points, the max possible.

Tile Rack #178: Playing HMM earns 10 points, the max possible.

Tile Rack #179: Playing SUQ earns 12 points, the max possible.

Tile Rack #180: Playing QUAG earns 14 points, the max possible.

Tile Rack #181: Playing JIVY earns 17 points, the max possible.

Tile Rack #182: Playing HEW earns 9 points, the max possible.

Tile Rack #183: Playing WACK earns 13 points, the max possible.

Tile Rack #184: Playing HADJ earns 15 points, the max possible.

Tile Rack #185: Playing VOLT earns 7 points, the max possible.

Tile Rack #186: Playing DREW earns 8 points, the max possible.

Tile Rack #187: Playing JAMB earns 15 points, the max possible.

Tile Rack #188: Playing JUT earns 10 points, the max possible.

Tile Rack #189: Playing PFUI earns 9 points, the max possible.

Tile Rack #190: Playing PECK earns 12 points, the max possible.

Tile Rack #191: Playing QUAI earns 13 points, the max possible.

Tile Rack #192: Playing JOG earns 11 points, the max possible.

Tile Rack #193: Playing SHH earns 9 points, the max possible.

Tile Rack #194: Playing JOCKEY earns 22 points, the max possible.

Tile Rack #195: Playing ADOWN earns 9 points, the max possible.

Tile Rack #196: Playing FAVA earns 10 points, the max possible.

Tile Rack #197: Playing KHAPH earns 17 points, the max possible.

Tile Rack #198: Playing BALLY earns 10 points, the max possible.

Tile Rack #199: Playing NU earns 2 points, the max possible.

Tile Rack #200: Playing STYMY earns 13 points, the max possible.

Tile Rack #201: Playing VEX earns 13 points, the max possible.

Tile Rack #202: Playing SUQ earns 12 points, the max possible.

Tile Rack #203: Playing VEXIL earns 15 points, the max possible.

Tile Rack #204: Playing BRR earns 5 points, the max possible.

Tile Rack #205: Playing QUA earns 12 points, the max possible.

Tile Rack #206: Playing FIXT earns 14 points, the max possible.

Tile Rack #207: Playing FIZ earns 15 points, the max possible.

Tile Rack #208: Playing FAX earns 13 points, the max possible.

