Ship #1: 2.40 1.80 3.20
Ship #2: 2.40 3.20 1.80
Ship #3: Ali is sunk!
Ship #4: 1000.00 0.50 0.50
Ship #5: Ali is sunk!
Ship #6: Ali is sunk!
Ship #7: Ali is sunk!
Ship #8: 240.00 180.00 320.00
Ship #9: 240.00 320.00 180.00
Ship #10: Ali is sunk!
Ship #11: 3.32 5.00 5.00
Ship #12: 1.94 0.50 0.50
Ship #13: 0.97 0.25 1.75
Ship #14: 0.97 1.75 0.25
Ship #15: Ali is sunk!
Ship #16: Ali is sunk!
Ship #17: Ali is sunk!
Ship #18: Ali is sunk!
Ship #19: Ali is sunk!
Ship #20: Ali is sunk!
Ship #21: Ali is sunk!
Ship #22: Ali is sunk!
Ship #23: Ali is sunk!
Ship #24: Ali is sunk!
Ship #25: Ali is sunk!
Ship #26: Ali is sunk!
Ship #27: Ali is sunk!
Ship #28: Ali is sunk!
Ship #29: Ali is sunk!
Ship #30: Ali is sunk!
Ship #31: Ali is sunk!
Ship #32: Ali is sunk!
Ship #33: 2.65 3.00 3.00
Ship #34: 4.00 3.00 3.00
Ship #35: 3.00 4.00 4.00
Ship #36: 866.03 500.00 500.00
Ship #37: 31.64 500.00 500.00
Ship #38: 1.73 999.00 1.00
Ship #39: 1.73 1.00 999.00
Ship #40: Ali is sunk!
Ship #41: 864.87 500.00 500.00
Ship #42: 865.16 499.50 499.50
Ship #43: 866.31 499.50 499.50
Ship #44: 400.00 300.00 300.00
Ship #45: 300.00 400.00 400.00
Ship #46: 22.36 499.50 499.50
Ship #47: 40.33 27.84 971.16
Ship #48: 307.33 376.49 546.51
Ship #49: 633.78 751.40 16.60
Ship #50: 3.00 0.00 4.00
Ship #51: 30.00 0.00 40.00
Ship #52: 300.00 0.00 400.00
Ship #53: 3.00 4.00 0.00
Ship #54: 30.00 40.00 0.00
Ship #55: 300.00 400.00 0.00
Ship #56: 600.00 0.00 800.00
Ship #57: 600.00 800.00 0.00
Ship #58: 800.00 0.00 600.00
Ship #59: 600.00 0.00 800.00
Ship #60: Ali is sunk!
Ship #61: Ali is sunk!
Ship #62: Ali is sunk!
Ship #63: Ali is sunk!
Ship #64: Ali is sunk!
Ship #65: Ali is sunk!
Ship #66: 998.99 44.90 4.10
Ship #67: 998.99 4.10 44.90
Ship #68: 6.95 0.81 7.19
Ship #69: 7.95 0.93 6.07
